split,xml_file,filename,class,img_width,img_height,xmin,ymin,xmax,ymax,bbox_width,bbox_height,bbox_area,aspect_ratio
train,crazing_1.xml,crazing_1.jpg,crazing,200,200,2,2,193,194,191,192,36672,0.9947916666666666
train,crazing_10.xml,crazing_10.jpg,crazing,200,200,60,20,194,69,134,49,6566,2.7346938775510203
train,crazing_10.xml,crazing_10.jpg,crazing,200,200,9,84,197,198,188,114,21432,1.6491228070175439
train,crazing_100.xml,crazing_100.jpg,crazing,200,200,1,10,108,121,107,111,11877,0.963963963963964
train,crazing_100.xml,crazing_100.jpg,crazing,200,200,35,1,200,83,165,82,13530,2.0121951219512195
train,crazing_100.xml,crazing_100.jpg,crazing,200,200,120,109,196,198,76,89,6764,0.8539325842696629
train,crazing_100.xml,crazing_100.jpg,crazing,200,200,8,112,164,190,156,78,12168,2.0
train,crazing_101.xml,crazing_101.jpg,crazing,200,200,40,12,187,152,147,140,20580,1.05
train,crazing_102.xml,crazing_102.jpg,crazing,200,200,2,2,144,153,142,151,21442,0.9403973509933775
train,crazing_102.xml,crazing_102.jpg,crazing,200,200,150,85,199,178,49,93,4557,0.5268817204301075
train,crazing_103.xml,crazing_103.jpg,crazing,200,200,1,18,130,99,129,81,10449,1.5925925925925926
train,crazing_103.xml,crazing_103.jpg,crazing,200,200,126,29,198,130,72,101,7272,0.7128712871287128
train,crazing_103.xml,crazing_103.jpg,crazing,200,200,1,107,86,191,85,84,7140,1.0119047619047619
train,crazing_104.xml,crazing_104.jpg,crazing,200,200,4,4,110,136,106,132,13992,0.803030303030303
train,crazing_104.xml,crazing_104.jpg,crazing,200,200,142,10,197,56,55,46,2530,1.1956521739130435
train,crazing_104.xml,crazing_104.jpg,crazing,200,200,137,42,199,116,62,74,4588,0.8378378378378378
train,crazing_104.xml,crazing_104.jpg,patches,200,200,78,169,118,200,40,31,1240,1.2903225806451613
train,crazing_105.xml,crazing_105.jpg,crazing,200,200,4,3,113,134,109,131,14279,0.8320610687022901
train,crazing_105.xml,crazing_105.jpg,crazing,200,200,133,1,197,149,64,148,9472,0.43243243243243246
train,crazing_105.xml,crazing_105.jpg,crazing,200,200,59,1,197,45,138,44,6072,3.1363636363636362
train,crazing_105.xml,crazing_105.jpg,inclusion,200,200,5,91,121,125,116,34,3944,3.411764705882353
train,crazing_106.xml,crazing_106.jpg,crazing,200,200,1,24,127,101,126,77,9702,1.6363636363636365
train,crazing_106.xml,crazing_106.jpg,crazing,200,200,16,120,189,156,173,36,6228,4.805555555555555
train,crazing_106.xml,crazing_106.jpg,crazing,200,200,113,152,177,188,64,36,2304,1.7777777777777777
train,crazing_107.xml,crazing_107.jpg,crazing,200,200,112,46,199,138,87,92,8004,0.9456521739130435
train,crazing_107.xml,crazing_107.jpg,crazing,200,200,2,1,105,79,103,78,8034,1.3205128205128205
train,crazing_107.xml,crazing_107.jpg,crazing,200,200,11,146,127,199,116,53,6148,2.188679245283019
train,crazing_108.xml,crazing_108.jpg,crazing,200,200,3,21,69,149,66,128,8448,0.515625
train,crazing_108.xml,crazing_108.jpg,crazing,200,200,90,115,198,193,108,78,8424,1.3846153846153846
train,crazing_109.xml,crazing_109.jpg,crazing,200,200,77,1,199,42,122,41,5002,2.975609756097561
train,crazing_109.xml,crazing_109.jpg,crazing,200,200,39,38,198,87,159,49,7791,3.2448979591836733
train,crazing_109.xml,crazing_109.jpg,crazing,200,200,32,88,145,131,113,43,4859,2.627906976744186
train,crazing_11.xml,crazing_11.jpg,crazing,200,200,20,68,112,111,92,43,3956,2.13953488372093
train,crazing_11.xml,crazing_11.jpg,crazing,200,200,85,12,193,70,108,58,6264,1.8620689655172413
train,crazing_11.xml,crazing_11.jpg,crazing,200,200,62,134,142,184,80,50,4000,1.6
train,crazing_110.xml,crazing_110.jpg,crazing,200,200,105,18,193,75,88,57,5016,1.543859649122807
train,crazing_110.xml,crazing_110.jpg,crazing,200,200,1,16,89,79,88,63,5544,1.3968253968253967
train,crazing_111.xml,crazing_111.jpg,crazing,200,200,37,28,167,109,130,81,10530,1.6049382716049383
train,crazing_111.xml,crazing_111.jpg,crazing,200,200,119,12,199,126,80,114,9120,0.7017543859649122
train,crazing_112.xml,crazing_112.jpg,crazing,200,200,14,44,123,106,109,62,6758,1.7580645161290323
train,crazing_112.xml,crazing_112.jpg,crazing,200,200,3,119,138,182,135,63,8505,2.142857142857143
train,crazing_112.xml,crazing_112.jpg,patches,200,200,124,34,165,112,41,78,3198,0.5256410256410257
train,crazing_113.xml,crazing_113.jpg,crazing,200,200,23,134,123,186,100,52,5200,1.9230769230769231
train,crazing_113.xml,crazing_113.jpg,crazing,200,200,1,48,162,116,161,68,10948,2.3676470588235294
train,crazing_114.xml,crazing_114.jpg,crazing,200,200,41,139,169,188,128,49,6272,2.6122448979591835
train,crazing_114.xml,crazing_114.jpg,crazing,200,200,5,52,46,198,41,146,5986,0.2808219178082192
train,crazing_114.xml,crazing_114.jpg,crazing,200,200,2,16,94,91,92,75,6900,1.2266666666666666
train,crazing_115.xml,crazing_115.jpg,crazing,200,200,9,25,187,74,178,49,8722,3.63265306122449
train,crazing_115.xml,crazing_115.jpg,crazing,200,200,24,79,109,135,85,56,4760,1.5178571428571428
train,crazing_115.xml,crazing_115.jpg,crazing,200,200,97,45,192,141,95,96,9120,0.9895833333333334
train,crazing_116.xml,crazing_116.jpg,crazing,200,200,121,13,174,69,53,56,2968,0.9464285714285714
train,crazing_116.xml,crazing_116.jpg,crazing,200,200,19,113,134,186,115,73,8395,1.5753424657534247
train,crazing_117.xml,crazing_117.jpg,crazing,200,200,12,39,154,144,142,105,14910,1.3523809523809525
train,crazing_117.xml,crazing_117.jpg,crazing,200,200,66,138,169,189,103,51,5253,2.019607843137255
train,crazing_118.xml,crazing_118.jpg,crazing,200,200,7,144,79,188,72,44,3168,1.6363636363636365
train,crazing_118.xml,crazing_118.jpg,crazing,200,200,1,65,75,138,74,73,5402,1.0136986301369864
train,crazing_118.xml,crazing_118.jpg,crazing,200,200,44,120,178,173,134,53,7102,2.5283018867924527
train,crazing_118.xml,crazing_118.jpg,crazing,200,200,58,82,195,133,137,51,6987,2.6862745098039214
train,crazing_119.xml,crazing_119.jpg,crazing,200,200,72,63,193,147,121,84,10164,1.4404761904761905
train,crazing_119.xml,crazing_119.jpg,crazing,200,200,1,112,136,157,135,45,6075,3.0
train,crazing_119.xml,crazing_119.jpg,crazing,200,200,64,14,171,58,107,44,4708,2.4318181818181817
train,crazing_119.xml,crazing_119.jpg,crazing,200,200,5,18,137,98,132,80,10560,1.65
train,crazing_12.xml,crazing_12.jpg,crazing,200,200,1,1,141,50,140,49,6860,2.857142857142857
train,crazing_12.xml,crazing_12.jpg,crazing,200,200,1,107,119,162,118,55,6490,2.1454545454545455
train,crazing_120.xml,crazing_120.jpg,crazing,200,200,83,6,178,57,95,51,4845,1.8627450980392157
train,crazing_120.xml,crazing_120.jpg,crazing,200,200,106,68,200,108,94,40,3760,2.35
train,crazing_120.xml,crazing_120.jpg,crazing,200,200,1,81,117,146,116,65,7540,1.7846153846153847
train,crazing_120.xml,crazing_120.jpg,crazing,200,200,1,81,117,146,116,65,7540,1.7846153846153847
train,crazing_120.xml,crazing_120.jpg,crazing,200,200,91,110,199,152,108,42,4536,2.5714285714285716
train,crazing_121.xml,crazing_121.jpg,crazing,200,200,72,114,173,171,101,57,5757,1.7719298245614035
train,crazing_121.xml,crazing_121.jpg,crazing,200,200,23,21,156,72,133,51,6783,2.607843137254902
train,crazing_122.xml,crazing_122.jpg,crazing,200,200,82,136,195,166,113,30,3390,3.7666666666666666
train,crazing_122.xml,crazing_122.jpg,crazing,200,200,44,73,109,133,65,60,3900,1.0833333333333333
train,crazing_123.xml,crazing_123.jpg,crazing,200,200,78,121,194,167,116,46,5336,2.5217391304347827
train,crazing_124.xml,crazing_124.jpg,crazing,200,200,42,24,185,71,143,47,6721,3.0425531914893615
train,crazing_124.xml,crazing_124.jpg,crazing,200,200,1,12,39,160,38,148,5624,0.25675675675675674
train,crazing_125.xml,crazing_125.jpg,crazing,200,200,71,80,193,127,122,47,5734,2.595744680851064
train,crazing_125.xml,crazing_125.jpg,crazing,200,200,64,23,196,93,132,70,9240,1.8857142857142857
train,crazing_125.xml,crazing_125.jpg,crazing,200,200,114,66,200,177,86,111,9546,0.7747747747747747
train,crazing_126.xml,crazing_126.jpg,crazing,200,200,1,63,108,124,107,61,6527,1.7540983606557377
train,crazing_126.xml,crazing_126.jpg,crazing,200,200,90,23,198,74,108,51,5508,2.1176470588235294
train,crazing_127.xml,crazing_127.jpg,crazing,200,200,13,132,119,191,106,59,6254,1.7966101694915255
train,crazing_127.xml,crazing_127.jpg,crazing,200,200,58,24,145,115,87,91,7917,0.9560439560439561
train,crazing_128.xml,crazing_128.jpg,crazing,200,200,1,34,60,95,59,61,3599,0.9672131147540983
