split,filename,object_index,class_name,source_image_path,crop_path,xmin,ymin,xmax,ymax,padded_xmin,padded_ymin,padded_xmax,padded_ymax,crop_width,crop_height
train,crazing_1.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_1.jpg,C:\NEU-DET\crops\train\crazing\crazing_1_obj00_crazing.jpg,2,2,193,194,0,0,198,199,198,199
train,crazing_10.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_10.jpg,C:\NEU-DET\crops\train\crazing\crazing_10_obj00_crazing.jpg,60,20,194,69,55,15,199,74,144,59
train,crazing_10.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_10.jpg,C:\NEU-DET\crops\train\crazing\crazing_10_obj01_crazing.jpg,9,84,197,198,4,79,200,200,196,121
train,crazing_100.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_100.jpg,C:\NEU-DET\crops\train\crazing\crazing_100_obj00_crazing.jpg,1,10,108,121,0,5,113,126,113,121
train,crazing_100.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_100.jpg,C:\NEU-DET\crops\train\crazing\crazing_100_obj01_crazing.jpg,35,1,200,83,30,0,200,88,170,88
train,crazing_100.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_100.jpg,C:\NEU-DET\crops\train\crazing\crazing_100_obj02_crazing.jpg,120,109,196,198,115,104,200,200,85,96
train,crazing_100.jpg,3,crazing,C:\NEU-DET\train\images\crazing\crazing_100.jpg,C:\NEU-DET\crops\train\crazing\crazing_100_obj03_crazing.jpg,8,112,164,190,3,107,169,195,166,88
train,crazing_101.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_101.jpg,C:\NEU-DET\crops\train\crazing\crazing_101_obj00_crazing.jpg,40,12,187,152,35,7,192,157,157,150
train,crazing_102.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_102.jpg,C:\NEU-DET\crops\train\crazing\crazing_102_obj00_crazing.jpg,2,2,144,153,0,0,149,158,149,158
train,crazing_102.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_102.jpg,C:\NEU-DET\crops\train\crazing\crazing_102_obj01_crazing.jpg,150,85,199,178,145,80,200,183,55,103
train,crazing_103.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_103.jpg,C:\NEU-DET\crops\train\crazing\crazing_103_obj00_crazing.jpg,1,18,130,99,0,13,135,104,135,91
train,crazing_103.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_103.jpg,C:\NEU-DET\crops\train\crazing\crazing_103_obj01_crazing.jpg,126,29,198,130,121,24,200,135,79,111
train,crazing_103.jpg,2,crazing,C:\NEU-DET\train\images\crazing\crazing_103.jpg,C:\NEU-DET\crops\train\crazing\crazing_103_obj02_crazing.jpg,1,107,86,191,0,102,91,196,91,94
train,crazing_104.jpg,0,crazing,C:\NEU-DET\train\images\crazing\crazing_104.jpg,C:\NEU-DET\crops\train\crazing\crazing_104_obj00_crazing.jpg,4,4,110,136,0,0,115,141,115,141
train,crazing_104.jpg,1,crazing,C:\NEU-DET\train\images\crazing\crazing_104.jpg,C:\NEU-DET\crops\train\crazing\crazing_104_obj01_crazing.jpg,142,10,197,56,137,5,200,61,63,56
